Indx,Doctor,Review,Classification
18,1668628,"Awful!!! Stay away from this doctor, after waiting for over an hour met the most unprofessional doctor ever, she made inappropriate comments about my baby look while doing sonogram! Receptionist asked me if I am pregnant....really? I am almost 8 months, is it that hard to pay more attention? And them called next day to tell me that I have to pay doctor 600$ fee to deliver my baby",NEG
19,2006174,I had 4 implants and periodontal treatment by him and reffered many of my freinds to him.... very knowlegable and dos great work.,POS
20,2006174,"excellent results, I had 3 implants done by him over 8 years ago ,still see him for my gums",POS
21,1381120,"Dr. Wu delivered my second child. I was very happy with the practice. I had an episiotomy with my first child and was able to deliver my second without one which was great. The practice has so many patients though that it take months to get a gyn appt. Also I had a very bad experience with a miscarriage and one of the docs in the group so I left. Would use again for ob but did like the postpartum floor at HUP (like a jail cell) so I switched to a doc delivering out of Pennsylvania hospital. All that aside, Dr. Wu is great.",POS
22,718193,"no so good, do it for money, very bad staff, bad service",NEG
23,718193,Great doctor that will explain things in layman's terms.,POS
24,1819794,Dr Marks is a pro. Not cheap but worth every penny. Couldn't have asked for a better doc to deliver my baby.,POS
25,1819794,"Dr. Marks is a fabulous doctor.  She definitely has a lot of patients, and a lot of people vying for her time, but you definitely know that your in the best hands when you're her patient.",POS
26,1819794,Dr. Marks took excellent care of me through my pregnancy and delivery. I felt very safe with her. I had a few complications in my 3rd trimester--she referred me to excellent specialists and monitored my and my baby's condition very closely. My baby's birth was amazing and I felt so safe thanks to Dr. Marks.,POS
27,1819794,I love Dr. Marks!  She is an amazing OB with a great bedside manner. My delivery was as seamless as a delivery can be.  She makes me feel very comfortable and that I am in very capable hands.,POS
28,1819794,"Dr. Marks is an amazing gynecologist. Really good at what she does, excellent bedside manner and her staff are all courteous and calming. I've been going to her for 6 years now and will definitely be going to her once I have children.",POS
29,2083128,"Unfortunately Dr. Brief is not thorough or conscientious. He fails to treat patients as a whole and is quick to prescribe his go to pharmaceuticals without regard to individual patient needs. Dr. Brief's staff is confused, without knowledge, and not capable of filing insurance claims properly. Overall, Dr. Brief is a very poor doctor with an unacceptable staff. Do not let the location of his office fool you. Perhaps it is simply time for Dr. Brief to retire. He is certainly not capable of delivering satisfactory medical care at this stage.",NEG
30,2083128,"Dr Brief is without a doubt not only one of the finest doctors I've met, but also a very caring individual who I've had the pleasure of getting to know over the years.  He provided excellent care and was always there for me when needed. I can't say enough to praise him and will always be grateful that I was fortunate in meeting him at a time of great need.",POS
31,2083128,"I am very happy with Dr Brief whenever I need to see him he is there. Very helpful, sensible, and thoughtful. I recommend him.",POS
32,2083128,"Dr. Brief used to be good when he had the other girls that were there before working in his office.  During my last visit the new girls  could not find my chart & had me waiting an extremely long time to see the Dr.  The Doctor seemed more organized with his previous staff.  I will definitely change my doctor. They did not return my phone call , I wanted to find out my results to my blood test. This doctor should be ashamed of himself & should retire .",NEG
33,2083128,"After the recent death of my father, I went to see Dr. Brief w depression and gastro symptoms.  He told me to ""fight"" through the depression and ignored the gastro symptoms.  I was then diagnosed w high blood pressure for the first time, after having been under tremendous stress for some time.  He told me he was putting me on a low dose BP med.  It made me vomit and fatigued, such that I missed work.  When I called to let him know, he told me these side effects were not consistent with the drug, but to cut in half.  Side effects continued.  In conversation with a family member who is a pharmacist, she was appalled that I would be prescribed such a powerful med for a first time BP high.  Seeing a new doctor tomorrow.",NEG
34,2083128,"anytime myself of my husband needs to see him the ladies who work at his office always and i mean always give us an appt right away, sometimes the following day.   I find dr brief to be a very caring dr who truly takes good care of his patients. Kind and understanding and he knows his stuff!!!",POS
35,2083128,Consistently rated as one of the best cardioloogists in New York. Devoted to patient care and a consumate professional.,POS
36,2083128,Always seems to be in a rush. Also tends to be curt. Once asked him about the side effects of a new medication he was prescribing and his answer was that I would find out myself. Have decided to see another doctor instead.,NEG
37,2083128,"Dr. Brief treats women like they do not exist. I do not know if he does that with men. He ignored constant physical complaints from a 70 year old women, calling her depressed and refused to send her for tests. After going to another doctor, it was found out that she had a large aneurysm. She was operated on, but it was too late and she died. That person was my mother.",NEG
38,2083128,"Dr. Brief was very ""curt & caustic"" during my visit. His staff seemed somewhat intimidated. Althought I've heard that he ""is good"", I sought my medical care elsewhere and am glad that I did.",NEG
39,1989862,"doesn't return phone calls, takes a long time to get a prescription",NEU
40,1989862,This guy is a dermatologist who does plastic surgical procedures. His disorganized office and arrogance are astounding. He promised results that he didn't come close to achieving. My guess is that his reputation has been generated by a PR firm and have nothing to do with his limited skills.,NEG
41,1929909,"I had very pleasant experience visiting Dr.Cenedese. This doctor is professional, polite, and charming. He did injections for me and I was very happy with the results. The office is spacious, the staff is nice, and the prices are affordable. I would highly recommend this doctor to everyone.",POS
42,1929909,"The Dr was there for us in an emergency situation, When my 16 year son injured his face in a bicycle accident. He squeezed us in that day on a Friday afternoon, w/o advance appointment. And he accepted our insurance United health care community plan. He and the nurse gave my son meticulous professional care. thank you!",POS
43,1929909,"I saw Dr. Cenedese for a problem with my finger.  He was very kind, patient and knowledgable .  His staff was sweet and helpful. I would recommend him to my friends and family.",POS
44,1929909,"I am 32 years old and have been overweight for as long as I can remember. I have tried diets, exercise, fasting, you name it. Nothing seemed to help me reduce my bellyfat. I am a very active guy, I  work out and play sports 4-5 times a week. Nevertheless I was recently diagnosed with Gynecomastia (man breasts) , by my physician.  That was the last straw! I talked to a friend of mine who had a breast enlargement(and looks GREAT I might add). She recommended DR. C, she said he was a down to earth guy, and most importantly a great DR. I scheduled a consult and his lovely secretary Barbara had me booked for the following week. I had a Belly  and lower breast Liposuction.. After 5 days of a discomfort from wearing  a compression band , I was all set to go back to work and the gym.",POS
45,1929909,"I went to Dr. Cenedese for a breast reduction, he and his staff are very informative and answered all my questions during my consultation and advised me of risks and benefits. I'm very happy with my results and the care I received from the doctor and his staff. Katherine his nurse called me the day after my surgery to make sure I was okay and she also answered some questions I had for cleaning my incisions she was patient and sweet. I highly recommend this doctor and his staff to anyone who needs work done!! I will be back for another procedure soon!!",POS
46,1929909,"I am so excited about the results of my eyelid surgery and lip enlargement that I will have The Doctor do my Botox.  I had no pain and just minor swelling.  He and his staff are talented, compassionate and honest.  Thanks Dr. Cenedese",POS
47,1929909,"I have used botox for many years & visited doctors in Atlanta, New York, Seattle and London, I'm very familiar with the process & expected results. My appointment with Dr Cenedese is the most unprofessional & shocking experience I have ever had. I was shocked by his immediate discussion about the dangers of eyelid droop & that there were no guarantees. He barely made eye contact and I felt like he was making excuses for why I was about to get a bad botox result. He was going on so incessantly and negatively that I thought he obviously does not want to give me botox and I should leave. He made only 4 injections in a straight line & never asking me to raise my brow to see the muscle pull. EVERY doctor I have EVER seen has done this. I even asked about it & he said he'd seen my brow raise several times already. I was mortified and my result is AWFUL. The top & bottom of my forehead has wrinkles but none in the very middle. I also immediately got a bruise in one of the injection spots.",NEG
48,1929909,"I went to see Dr. cenedese for surgery on my stomach and other areas. Instead of just thinking about cutting me open and do surgery, he took his time talking to me and recommended me to lose a little weight before surgery and was so caring and sat with me to discuss ways for me to lose weight. It's been about 2 months and I have lost 35lbs. I feel like I'm on my way to success thanks to Dr. Luis cenedese",POS
49,1929909,I had lipo with done by Dr. Cenedese about a month ago. I have no complaints so far. The staff is very nice and always willing to help and work around your schedule. It is only a month and I am already looking fabulous. Loved it so much I am already planning my next procedure ;)  Thanks Doctor!,POS
50,1929909,"2 SURGERIES - 2 FAILS. First time he said ""sometime it happen"" and I believed it. But second time it happen and I don't need explanation. He is TOO old to make surgery (~60yo), I remember how trembling his hands when he cut my skin. This is frightfully. All he can profesionally do is make a smart face on your cosultation with him and speak smart words which will balm your brain. But he can't make good surgery. More: he will mutilate you. All this ""nice doctor"" review below, I believe, wrote by Cenedese himself or from his office. If anyone would like to open congregate lawsuit - contact me thru contact form here, I ready to sign up.",NEG
51,1250870,knowledgeable adn attentive doctor. recommend,POS
52,2102264,Attentive. Takes time to listen. I seem to talk more here than I have talked in a long time.,NEU
53,2023604,"I am a young professional and have been seeing Dr. Striar few a few months now. I found her through a web search and, after researching her background, I chose her as my psychotherapist. I have found the experience to be very beneficial. With her help, I am addressing issues around self esteem and relationship skills. As a result of her guidance and insight, I am taking better care of myself and in a good relationship with a promise of a healthy future. I have referred her to friends and highly recommend Dr. Striar to anyone.",POS
54,2023604,"I have been seeing Dr. Striar for quite a while now now and I can't say enough wonderful things about about her.  Her years of experience and training as a psychotherapist, and nursing have given me the tools I needed to navigate my 20's and now my 30's. I addressed my family, work and relationship issues, and am now on more solid ground.  After years of dealing with relationship issues and fear of commitment and I am now happily in a 2.5 year relationship.  Thank you, Dr. Striar for all of your help and guidance.  I highly recommend her.",POS
55,2023604,"""Doctor"" Sharna Striar is, in fact, NOT a licensed psychologist.  She is a Registered Nurse who is illegally representing herself as a psychologist.  The title ""Psychologist"" is legally reserved for individuals with a doctorate in psychology and who are licensed by the state to practice psychology after meeting the state's VERY stringent requirements for licensure.  It is unclear whether or not Ms. Striar actually has a PHD, but it can be quickly verified that she in not a currently licensed psychologist on the NYS Department of Professional Regulation website.   Ms. Striar, I strongly suggest you remove the listing on this site stating you are a ""psychologist"" until and unless you have a doctorate in psychology and are licensed to practice by the state of NY.  Using the title doctor and marketing yourself as a psychologist on sites like this is both ILLEGAL and unethical and creates legal liability for arrest and prosecution.",NEG
56,2023604,"Dr Striar has been a wonderful therapist to both my husband and I over many years now. She has guided us through relationship problems, loss of family members, professional issues and a host of other things. She is extremely warm, friendly, and incisive and creates an environment in which working through problems becomes fun and challenging rather than tedious and frustrating. I always look forward to our sessions, which is not something one can usually say about therapy! I can truly say that we both felt that she deeply cared about us and how things would turn out for us and went out of her way to enable us to grow both in our relationship and as individuals. She would often email us in between sessions about things she had researched for us (and this varied from research on cognitive behavior therapy for certain issues to the best hotel to stay in Portland!) and so it never felt like you were just another patient that she forgot about as soon as the session was over. Love  her!",POS
57,2023604,"My husband and I were having a lot of marital problems and Dr. Striar helped us solve them. She was very caring, low key and equitable. She was careful to look at the issue from both of our vantage points. She was able to interject and help each of us get back to a calm place when our emotions started to run high. She also was well-read and had good techniques for us to try at home. We are now on a great path and I can say our marriage is very strong -- miles ahead of where we started. I highly recommend Dr. Striar.",POS
58,2023604,"I’ve been in therapy for many years, when I moved to New York City, a doctor of mine recommended Dr. Striar.  I wasn’t sure I was going to be able to open up and feel comfortable with a new doctor, but Dr. Striar was extremely easy to talk to.  She very compassionate and takes the time to listen and then give you tools to aid in any troubles you may have.  I think about where I was when I met her and where I am today, 5 years later, and I couldn’t have done it without the help of Dr. Striar.    Aside from her vast expertise in mental health struggles, she’s also very flexible in terms of appointments, insurance, etc.      I’ve referred several friends to her, whom are all very happy as well.  I definitely recommend her to anyone interested in going to therapy.",POS
59,2023604,"I was a patient of Sharna Striar from 2008 to 2011 and I can recommend her as one of the best I have ever worked with. She is not only very good at what she does, but she is genuinely caring about her patients. I must say that a big chunk of my well-being today is a result of her guidance and the amount I have learned about myself in these years working with her has been invaluable. She is an expert in her field and I am so grateful I found her! She saved me from a major disaster, helping me to get out of an abusive relationship and fixing the reasons that got me there in the first place. She also then helped me through anxiety and depression problems and I was able to come through and reach a happy place without using any drugs.",POS
60,2023604,"Dr. Striar is the best doctor that I have ever worked with in my life. When I moved to New York City I needed to talk to someone about my personal struggles and challenges. She helped me in ways most people have never. I like her patience and honesty, but most importantly the fact that she listens. Whenever I need to talk to her, she always finds a way to fit me in, and that is so important to me. Knowing that I can go to her about anything and never feel judged is key to me. I have now overcome so many things in my life, and its all thanks to her. I would recommend her to anyone.",POS
61,2023604,Dr. Striar is amazing. Never had a therapist before her. I was a skeptic in therapy. But she's helped me find my voice and how to handle life and all that comes with it.,POS
62,2076666,You seriously could not get a better doctor than him!!  All of the sloan pediatric doctors are amazing!,POS
63,2076666,Dr Boulad is a GREAT doctor.I had cancer and he was my dr.He makes your treatments and every day journey the best that it can be.He is a great person as well as doctor.I love him and thank him for saving my life.,POS
64,2076666,Amazing doctor. Made us feel comfortable in every decision we made for our sister. He is reassuring. He is helpful. He is HILARIOUS. I love him and hope he remains my sister's doctor for as long as she is in her condition. Thank you Boulad for everything!,POS
65,2076666,I feel truly blessed to have Dr. Boulad as my doctor.  He has saved my life and made me feel comfortable and confident that everything was going to be ok from day 1.  He is so intelligent and truly is the best of the best. Anyone would be extremely lucky to have him as their doctor!,POS
66,2076666,"Dr. Boulad is an amazing doctor, as well as an amazing person. He has a great balance of giving professional advice and letting the patient make the final decision, and my life is more under my control because of him. I highly recommend him, as well as the whole pediatric team at Sloan-Kettering!",POS
67,1798131,"As far a layperson can tell, she seems to be an excellent doctor.  She actually listens, and she spends as much time as I need.  She does not overmedicate and is very good about follow-up.  The only drawback is her office staff; they rarely answer the phone (I think they leave it off the hook), which can make reaching her difficult.  But when you do get through, you can get an appointment in a reasonable time frame, and if it is urgent, she will see you fast.",POS
68,2083518,"We went to her because she has a great reputation. The problem is, she is stretched so thin that you will wait forever to see her adn she'll run in and run out. I never felt like my questions were really answered and alwyas left feeling like we'd gotten the ""bum's rush.""",NEG
69,2083518,Wonderful doctor. Highly recommended,POS
70,1750321,Fraudulent. .Specifies that he takes insurance and then says insurance only covers a portion of his services and the balance is $270 per hour.,NEG
71,1750321,"Excellent treatment from an unusually kind and open psychiatrist, who is happy to share any information and type of treatment that would be available and helpful.",POS
72,1750321,"Dr. Filimonov is a very caring Psychiatrist.  Unlike some others, he spends time with each patient and truly shows caring for you.  When you are doing well you can see that he is pleased for you.  When you are struggling you can see the concern on his face.",POS
73,1967022,One of the best docs in new york city. knows his stuff,POS
74,1967022,One of the best doctors in Manhattan. Thank you so much.,POS
75,1967022,One of the best doctors in the city. Well respected,POS
76,1967022,one of the best docs in nyc. thank you so much for helping,POS
77,1967022,one of the best doctors in nyc. truly helped my hand.,POS
78,1967022,Thank you for helping me with my terriblecyst in my hand.,NEU
79,1967022,Thanks doc I really appreciate everything you have done.,POS
80,1967022,Best doc truly helped my hand and I have to thank him,POS
81,1967022,"Dr. Lenzo didn't seem interested that the mobility was less and the pain was more several weeks AFTER my surgery.  I, and the physical therapist, seriously question if the procedure was done correctly.  The front office staff is the WORST I have ever seen at a doctor's office - rude, incompetent, dismissive.  Will NEVER go back here.",NEG
82,1879457,"Absolutely fantastic experience considering I was getting my wisdom teeth pulled. From scheduling, the operation itself, and my follow up--everything occurred just about as perfectly as it could have gone. After the operation, I even received a follow up call from Dr Black checking up on me...an absolute rarity! Dr Black was incredibly patient, thorough, and a clearly experienced oral surgeon. I felt completely at ease in his hands and am very grateful for his professionalism. Similarly, his nurse (Vicky) was wonderful! She was very warm, thoughtful, and completely sensitive to making the procedure as comfortable as possible for me. I've already referred a co-worker and would encourage needing dental surgery to see Dr Black.",POS
83,1879457,"Unbelievable staff, incredible nurse and best most considerate doctor.....ever.",POS
84,1879457,"I was experiencing clicking of the jaw, ringing in the ears, and dizziness which was causing me much distress for a long time.  In fact I always thought my problem was in the ears.    Upon my visit to Park East Oral & Maxillofacial Surgery, PC and much discussion, diagnoses, and medical imaging, Dr. Black provided me with treatment of an oral appliance to wear during the night which has relieve pain, ear sensation and prevents clench teeth cause further damage to jaw and ear bones.  The oral appliance was made to fit for me by the next day.  I have not stopped wearing the appliance ever since and most important Dr. Black's skill in recongizing and treating my problem has help me return to a healthy pain free life. If you are experiencing symptoms of TMJ, which are many, please see Dr. Seth M. Black who is caring, experienced and has a professional team working with him.  Migdalia D.",POS
85,1879457,"Dr. Black main concern is money, I am a union member and was referred to him.I was charged a co-payment of 1,225.00 and my GHI billed for more   money. I was then sent a bill for more money. When I spoke to the referring dentist, they were suprised and he never forward any inforamtion to the referring dentist. It has been almost a year and now the referring dentist is requesting my records. My experience with the staff was not good,the staff that service me was very rude. I will never go back to Dr.Black, it all about the money and that is so sad.",NEG
86,1879457,"I had 4 wisdom teeth removed within 6 months of each other, two at a time and Dr. Black was absolutely great. I suffered no pain either time due to the doctor's excellent surgical skills. A very nice bedside manner, put me completely at ease and took the time to explain the procedure to me and what I could expect from the outcome. His staff is also extremely knowledgeable and pleasant. I highly recommend him.",POS
87,1879457,"After waiting for WEEKS for authorization for my procedure- I was told by Dr. Black's office that I had full auth. and could come in.  I asked NUMEROUS times if my procedure was covered.  They assured me- IN FULL.  I received a bill yesterday for TEN THOUSAND DOLLARS.  They're claiming that I have ""medicare"" and not united as I said.  I'm 31 years old I do NOT have medicare!! I can assure you- these people want to get you in the door- tell you that you're covered and then bill you.  Stay away!",NEG
88,1879457,This was an easy and pleasant experience.  The staff was friendly and Dr. Black was more than helpful and patient with me.  He is treating more for severe TMJ and I am more than thrilled at the possibility of finally being PAIN FREE!,POS
89,1879457,"My experience with Dr. Black has been so consistently negative that I feel compelled to tell other people to avoid him. First, it is very difficult to get an appointment, and the staff is extremely rude, disrespectful, and unhelpful about scheduling (as well as most other matters). Second, Dr. Black recommended more surgery than was necessary in my case, which I found out by getting second and third opinions from other well-respected oral surgeons. Third, everything that Dr. Black has done for me has cost more than he said it would. Fourth, my records--in particular, the oral models I paid (a pretty penny) for--were disposed of without my knowledge. This is extremely frustrating, as it means I need to have the same stuff done over again because of their oversight. Suffice it to say that Dr. Black's practice is supremely unprofessional, and one might add mercenary, rude, and disorganized. Given that there are many great oral surgeons in NYC, this is one you should steer clear of.",NEG
90,1879457,"Dr. Black was the 4th oral surgeon I had been to for my TMJ. I had had every possible type of treatment that the other doctors knew of, so I needed a doctor who could do surgery in case that's what was necessary. From my first consultation, he explained what the treatment options were and revealed his suspicion that I would need surgery in the end.  He first tried a splint (bite plate) and then Botox injections, neither of which helped in my case.  I ended up having to have surgery on both sides. I was completely confident having Dr. Black do the surgery. He is the type of doctor who was born to do what he does. He has a great way of explaining things, a warm bedside manner, and a vast knowledge of his field.  I would HIGHLY recommend him to anyone!  And the lady in the office is also very nice if you're polite and friendly to her.",POS
91,1879457,"I had two wisdom teeth extracted the same day. I never experienced pain post surgery though I had excessive heavy clotting on my way home. I attribute my very successful and painless outcome to Dr. Black's skills. He explained my concerns and even spoke with my insurance carrier so that I could get the greatest financial advantage my coverage allowed.  Lastly, one of the receptionists at the front desk was very condescending and rude upon my arrival and when I asked and answered questions. The other two women at the desk were silent as if they did not want to upset the rude one. It seemed the rude woman was in charge. They looked at me sort of helpless and apologetic, being sure not to let the rude one see their reactions as they were standing behind her. Maybe I did not fit the profile of the clients the rude one was accustomed to at this Upper East Side Park Avenue office. If Dr. Black had not been so professional, warm, and competent, I would have gone to another dentist.",NEU
92,1948352,"Dr. Schwartz made my very difficult skull base brain surgery seem easy and I believe his skill, knowledge, and experience are second to none. My surgical outcome exceeded expectations and I am
grateful every single day that Dr. Schwartz was my surgeon. I believe Dr. Schwartz is the gold standard in neurosurgery.",POS
93,1948352,"Excellent experience with Dr. Schwartz.  He is a rare combination of being a brilliant neurosurgeon and a
humble and down-to-earth man.   After suffering with excruciating headaches for 3 weeks with back and
forth emergency room visits at a local hospital, where MRI's indicated ""no change"" in my husband's 
pituitary tumor.  They clearly monitored and treated his pain level believing his headaches were migraines.
Finally, we were directed to Dr. Schwartz, and my husband arrived at the hospital via ambulance at 2:00 am.
Dr. Schwartz, together with his ENT operated on him the following afternoon, explaining that according to
their MRI, there was a bleed from the tumor (which also caused his eye to close and remain that way).  The
surgery was successful, and now 3 months later,  everything is back to normal including my husband's eye being open and his vision is clear.  Dr. Schwartz was compassionate, considerate, and extremely kind, aside
from performing such successful surgery and freeing my husband from his horrible pain and misdiagnosed
suffering.  Highly highly recommended.",POS
94,1948352,"Doctor Ted Schwartz saved my husband's life...we were told by the chief neurosurgeon he had "" wire fire brain cancer"" at the University of Penn and we were told to let him go. He wasn't even on life support. He was supine for 44 days... Once getting the notification to "" let him go"" in Sept-2013, the Chief of the Ambramson Cancer center stepped in and told us to get another set of eyes on his scans. Our daughter worked feverishly for 44 hours gathering his scans and reports and sent them out to 11 facilities in the nation. Dr. Olivi contacted us, number one in the country, Dr. Schwartz contacted us, number two in the country... Neither agreed with PENN'S diagnosis . My daughter explained to me "" mom when you are dealing with one and two there is no difference other than logistics, they are in the same league! right she was.... Olivi said he could do surgery the following Thursday... SCHWARTZ said he would get my husband there immediately ... once leaving Penn they put my husband on a fentanyl drip which he had never been on prior ( they said if a critical care nurse could accompany him he needed to be on a drip)
We were diverted on the NJ turnpike my husbands heart rate dropped to 13... Diverted to Robert Wood Johnson... Doctor Schwartz sent a team of truly high professionals at 6 am to Johnson, when they walked in I knew we were good hands, they meant business. The following morning my husband had surgery, it was a hematoma, it wasn't cancer....Joe was with us in full form until January 14... Those months were priceless.  Why? Because Doctor Schwartz knew! He was the most compassionate human being I've very had the opportunity to meet in my life.  A humble man, yet brilliant.   I know this, if ever I or another members of my family or close group of friends are in anyway in a similar situation... We will be in his hands!! 
Thank you Doctor Schwartz, you not only gave my husband time, yet LIFE.
We will always hold you in the utmost regard as truly the best neurosurgeon alive.",POS
95,1948352,"Dr. Schwartz is the BEST. He saved my life. I had a lesion that wouldn't go away, I tried full brain radiation, cyber knife but nothing worked. Dr Schwartz removed it 7 years ago and it has not returned. My brain is cancer free.",POS
96,1948352,"My experience started when, after a precautionary MRI following a car accident, we discovered a brain meningioma. After four and a half years of monitoring, I was told I needed to have the meningioma removed, and I was faced with a difficult decision of what approach to take. I consulted several different physicians, all of whom specialized in different treatment techniques. However, after my initial consultation with Dr. Theodore Schwartz, I was convinced to undergo the surgery he recommended. On December 4, 2013, I was operated on by Dr. Schwartz. The surgery was a success. From that day on, and every day thereafter, I consider myself blessed and privileged to have had Dr. Schwartz as my surgeon. It is difficult for me to adequately express my gratitude for what he has done for me, and I cannot find the words to describe his surgical excellence and calming bedside manner, which made it possible for me to continue to live my life, without the thought of having had a meningioma.",POS
97,1948352,"Dr. Schwartz removed a benign tumor from my pituitary gland last year. Everything went incredibly smoothly from the diagnosis, to the preparation, to the surgery, to the recovery (although it wasn't easy). Both he and his staff were very helpful and knowledgeable. I am grateful for everything they have done for me.",POS
98,1948352,"I was referred to Dr. Schwartz and was told he was absolutely the best brain tumor surgeon in the north east.  I was terrified, having been diagnosed with a tumor, not knowing what surgery would be like and fearing the worse.  I had always been told that surgeons are cold and uncaring.  Dr. Schwartz was absolutely the opposite.  He sat with me for over an hour and discussed my diagnosis and what he was going to do to take the tumor out. I was told he specializes in minimally invasive surgeries and he did my surgery through a small incision.  The surgery went great and I am cured. He was kind, gentle, responsive and courteous.  He confidence put me at ease and the whole process was really a pleasure.  I can recommend him highly. He is the best!!!",POS
99,1948352,Great doc! Would recommend him highly.  He cares immensely about his patients and his office staff are first rate.,POS
100,1948352,"Dr. Schwartz has been great in all my interactions with him.  I had a pituitary tumor back years ago, he saw me right away, fit me in for surgery within a week, and as far as I'm concerned he saved my life and I'm forever grateful for that.  Have been to some follow-up visits over the years and he's always been very helpful and assuring.  As far as his staff, I feel like his colleague Olga could stand to improve her bedside manner with patients... felt like I was being brushed off when I was trying to get additional information about my status.  That being said, I would absolutely recommend Dr. Schwartz to anyone in need of his services.",POS
101,1948352,"I have to say that I've read the other comments and my wife and I had the exact opposite reaction to Dr. Schwartz. My wife had two brain tumors that had infiltrated her face (her left orbital to be exact.) The one tumor was behind her left eye which was causing her eye to protrude. (Which is how we knew it was there.) The other tumor was against her olfactory nerve. We went to two other neurosurgeons before we met Dr. Schwartz and BOTH said ""I can do this, but you should really be talking to Dr. Schwartz, he's the best in the world at this kind of surgery."" So, we went to him. And yes, he may be a bit brusque in his interpersonal style. And yes, he seems really really smart, but I presume it's because he IS really, really smart. (I'll take smart and confident over nice any day.)Now, due to the character restrictions, I cannot go into detail about how immensely happy we were with the out come of her surgery. I will say this - he did an amazing job. And we are forever grateful.",POS
102,1614482,Dr. Kochin is a great Optometrist. She helped improve my vision drastically. I recommend him to anyone who has eye issues. He is very caring and listens to all your issues carefully and knows how to improve any optical issue you have.,POS
